Вход		Выход		Комментарий
2+2			4			Проверка базовой арифметической операции
2+2*2		6			Проверка приоритета операции
(2+2)*2		8			Проверка приоритета скобок
2(2+2)		8			Проверка распознавания отсутствия оператора слева от скобки как умножение
-2(2+2)		-8			Проверка унарного минуса
(2+2)-2		2			Проверка работы минуса справа от скобки (Не сработает ли как унарный)
(2+2)2		8			Проверка распознавания отсуствия оператора справа от скобки как умножение
0.5*7		3.5			Проверка дробных чисел
(())		---			Проверка пустого выражения
((			Ошибка		Проверка разного числа открытых и закрытых скобок
+2			Ошибка		Проверка случая, когда слева от оператора нет выражения
-2			-2			Проверка унарного минуса (Без умножения)
2*			Ошибка		Проверка случая, когда справа от оператора нет выражения
2-			Ощибка		Проверка минуса в рамках предыдущего случая (Не сработает ли как унарный)
8%5*2		6			Проверка нескольких операторов с высоким приоритетом
8%(5*2)		8			Проверка скобок с несколькими операторами с высоким приоритетом
